ID,Area
420102000,2531
420103000,1177
420104000,1571
420105000,3856
420106000,2169
420107000,2133
420111002,5534
420111100,384
420111101,170
420111202,1036
420111203,534
420111204,388
420111205,4
420112100,54
420112400,9
420112402,1598
420112403,5
420112405,63
420112408,200
420112410,270
420112418,185
420112419,874
420112420,285
420112421,543
420112422,159
420113001,711
420113002,133
420113003,56
420113004,101
420114001,771
420114002,618
420114003,65
420114004,102
420114005,372
420114006,143
420114070,2676
420114071,574
420114100,19
420114101,45
420114200,18
420114400,11
420115001,2389
420115002,600
420115003,302
420115005,419
420115006,2114
420115007,854
420115087,415
420115100,37
420115101,80
420115103,22
420115204,85
420115206,13
420115400,0
420115404,17
420116001,568
420116002,69
420116003,392
420116004,64
420116005,1489
420116006,34
420116007,102
420116008,496
420116100,18
420116101,36
420116102,30
420116103,48
420116104,89
420116105,95
420116200,17
420116201,14
420117100,334
420117101,1399
420117102,63
420117103,45
420117104,32
420117105,39
420117106,26
420117107,52
420117108,257
420117109,30
420117110,28
420117111,21
420117401,3
420117402,5
